Site Id;Site Name;Longitude;Latitude;River
3104;LUBINICKO-ŚWIEBODZIN;15 33;52 15;OBRZYCA
5402;LUBLINIEC;18 42;50 41;MAŁA PANEW
93151;LUBNIEWICE;15 16;52 31;WARTA
94103;LUBOMIERZ;15 31;51 01;KWISA
95258;LUBOMIN;16 12;50 48;BYSTRZYCA
91603;LUBOMINO;20 15;54 04;PASŁĘKA
93368;LUBONIEC;17 12 07;52 10 03;WARTA
95304;LUBOTYŃ;17 57;50 03;ODRA
94009;LUBSKO;14 59;51 48;NYSA ŁUŻYCKA
94553;LUĆMIERZ;19 22 16;51 53 31;BZURA
96651;LUSŁAWICE;20 50;49 52;DUNAJEC
93117;LUTOL SUCHY;15 43;52 20;OBRZYCA
94523;LUTOSŁAWICE RZĄDOWE;19 34;51 31;WIDAWKA
96807;LUTOWISKA;22 42;49 15;SAN
92328;LUTÓWKO;17 27;53 28;BRDA
92654;LUTRY;20 53 07;53 59 53;ŁYNA
95436;ŁABĘDY;18 37;50 20;KŁODNICA
92129;ŁABĘDZIE;15 49;53 39;REGA
6614;ŁABOWA;20 52;49 32;KAMIENICA
96662;ŁABOWA;20 52;49 32;DUNAJEC
95259;ŁAGIEWNIKI;16 51;50 48;ODRA
94355;ŁANY;17 10 56;51 04 26;WIDAWA
95805;ŁAŃCUT;22 14;50 05;WISŁOK
96649;ŁAPANÓW;20 19;49 52;RABA
96611;ŁAPSZE NIŻNE;20 15;49 24;DUNAJEC
92524;ŁASIN;19 06;53 31;OSA
94530;ŁASK;19 08;51 36;WIDAWKA
4605;ŁAZISKA;20 55;51 20;RADOMKA
93823;ŁAZÓW;22 22;52 34;BUG
95540;ŁAZY;19 23;50 26;PRZEMSZA
95315;ŁĄKA;17 13;50 23;NYSA KŁODZKA
95473;ŁEBKI;18 46;50 47;LISWARTA
94816;ŁĘCZNA;22 54;51 18;WIEPRZ
